"sales_month","kind_of_business","pctg_yearly"
"1992-01-01","Men's clothing stores",6.8867275763827488
"1992-01-01","Women's clothing stores",5.8871601445858872
"1992-02-01","Men's clothing stores",6.4642892229099126
"1992-02-01","Women's clothing stores",6.2580543768662581
"1992-03-01","Men's clothing stores",7.1814520090382159
"1992-03-01","Women's clothing stores",7.5530410183875530
"1992-04-01","Men's clothing stores",8.0165045682287062
"1992-04-01","Women's clothing stores",8.3765519409083766
"1992-05-01","Men's clothing stores",8.4094704784359957
"1992-05-01","Women's clothing stores",8.6500078579286500
"1992-06-01","Men's clothing stores",8.3799980351704490
"1992-06-01","Women's clothing stores",7.6190476190476190
"1992-07-01","Men's clothing stores",7.0144414972001179
"1992-07-01","Women's clothing stores",7.4587458745874587
"1992-08-01","Men's clothing stores",7.6333628057765989
"1992-08-01","Women's clothing stores",8.3514065692283514
"1992-09-01","Men's clothing stores",7.4860005894488653
"1992-09-01","Women's clothing stores",8.0465189376080465
"1992-10-01","Men's clothing stores",8.2621082621082621
"1992-10-01","Women's clothing stores",8.6594373723086594
"1992-11-01","Men's clothing stores",8.9694469004813832
"1992-11-01","Women's clothing stores",9.2597831211692598
"1992-12-01","Men's clothing stores",15.2961980548187445
"1992-12-01","Women's clothing stores",13.8802451673738802
"1993-01-01","Men's clothing stores",6.9765107408150974
"1993-01-01","Women's clothing stores",6.5625965996908810
"1993-02-01","Men's clothing stores",6.2035735796024895
"1993-02-01","Women's clothing stores",6.1978361669242658
"1993-03-01","Men's clothing stores",7.0869303352740414
"1993-03-01","Women's clothing stores",7.5486862442040185
"1993-04-01","Men's clothing stores",7.9903633808472194
"1993-04-01","Women's clothing stores",8.5378670788253478
"1993-05-01","Men's clothing stores",8.1208592652077896
"1993-05-01","Women's clothing stores",8.8809891808346213
"1993-06-01","Men's clothing stores",7.9502108010439671
"1993-06-01","Women's clothing stores",7.8887171561051005
"1993-07-01","Men's clothing stores",7.2475406544870508
"1993-07-01","Women's clothing stores",7.8485316846986090
"1993-08-01","Men's clothing stores",7.3178076691427424
"1993-08-01","Women's clothing stores",8.1174652241112828
"1993-09-01","Men's clothing stores",7.5085324232081911
"1993-09-01","Women's clothing stores",8.1051004636785162
"1993-10-01","Men's clothing stores",8.3918891788797430
"1993-10-01","Women's clothing stores",8.3863987635239567
"1993-11-01","Men's clothing stores",9.1648263400923509
"1993-11-01","Women's clothing stores",9.0355486862442040
"1993-12-01","Men's clothing stores",16.0409556313993174
"1993-12-01","Women's clothing stores",12.8902627511591963
"1994-01-01","Men's clothing stores",6.8580542264752791
"1994-01-01","Women's clothing stores",5.8394637894392676
"1994-02-01","Men's clothing stores",6.2998405103668262
"1994-02-01","Women's clothing stores",6.4410658819682851
"1994-03-01","Men's clothing stores",7.5956937799043062
"1994-03-01","Women's clothing stores",8.3701160699689390
"1994-04-01","Men's clothing stores",7.7153110047846890
"1994-04-01","Women's clothing stores",8.3635769167892758
"1994-05-01","Men's clothing stores",7.8847687400318979
"1994-05-01","Women's clothing stores",8.3439594572502861
"1994-06-01","Men's clothing stores",8.1638755980861244
"1994-06-01","Women's clothing stores",8.0006539153179663
"1994-07-01","Men's clothing stores",7.1670653907496013
"1994-07-01","Women's clothing stores",7.3500081739414746
"1994-08-01","Men's clothing stores",7.5159489633173844
"1994-08-01","Women's clothing stores",8.2981853849926435
"1994-09-01","Men's clothing stores",7.5159489633173844
"1994-09-01","Women's clothing stores",7.9058361942128494
"1994-10-01","Men's clothing stores",8.3333333333333333
"1994-10-01","Women's clothing stores",8.4093509890469184
"1994-11-01","Men's clothing stores",9.3201754385964912
"1994-11-01","Women's clothing stores",9.1482752983488638
"1994-12-01","Men's clothing stores",15.6299840510366826
"1994-12-01","Women's clothing stores",13.5295079287232303
"1995-01-01","Men's clothing stores",7.0960815888352120
"1995-01-01","Women's clothing stores",6.0043211597435183
"1995-02-01","Men's clothing stores",6.5163714439076758
"1995-02-01","Women's clothing stores",6.3074993030387510
"1995-03-01","Men's clothing stores",7.2356414385399893
"1995-03-01","Women's clothing stores",8.3391413437412880
"1995-04-01","Men's clothing stores",7.7938808373590982
"1995-04-01","Women's clothing stores",8.4959576247560636
"1995-05-01","Men's clothing stores",7.7402039720880301
"1995-05-01","Women's clothing stores",8.8339838304990243
"1995-06-01","Men's clothing stores",7.9441760601180891
"1995-06-01","Women's clothing stores",8.2136883189294675
"1995-07-01","Men's clothing stores",6.8921095008051530
"1995-07-01","Women's clothing stores",7.5689991636465013
"1995-08-01","Men's clothing stores",7.4825550187869028
"1995-08-01","Women's clothing stores",8.1056593253415110
"1995-09-01","Men's clothing stores",7.7509393451422437
"1995-09-01","Women's clothing stores",8.2589908001115138
"1995-10-01","Men's clothing stores",8.1159420289855072
"1995-10-01","Women's clothing stores",8.0568720379146919
"1995-11-01","Men's clothing stores",9.6940418679549114
"1995-11-01","Women's clothing stores",8.9454976303317536
"1995-12-01","Men's clothing stores",15.7380568974771873
"1995-12-01","Women's clothing stores",12.8693894619459158
"1996-01-01","Men's clothing stores",6.6939032055311125
"1996-01-01","Women's clothing stores",5.5421772080175650
"1996-02-01","Men's clothing stores",6.8196103079824010
"1996-02-01","Women's clothing stores",6.4947942488844819
"1996-03-01","Men's clothing stores",7.4167190446260214
"1996-03-01","Women's clothing stores",7.7661307458035272
"1996-04-01","Men's clothing stores",7.5214749633354285
"1996-04-01","Women's clothing stores",8.3079538210921453
"1996-05-01","Men's clothing stores",8.1081081081081081
"1996-05-01","Women's clothing stores",9.0374672427225724
"1996-06-01","Men's clothing stores",7.9509742300439975
"1996-06-01","Women's clothing stores",8.4106523124867200
"1996-07-01","Men's clothing stores",6.9138906348208674
"1996-07-01","Women's clothing stores",7.3376301437778880
"1996-08-01","Men's clothing stores",7.9719254137858789
"1996-08-01","Women's clothing stores",8.3327431121184220
"1996-09-01","Men's clothing stores",7.7938403519798869
"1996-09-01","Women's clothing stores",8.0600609108293789
"1996-10-01","Men's clothing stores",8.3071443536559816
"1996-10-01","Women's clothing stores",8.5452227494865075
"1996-11-01","Men's clothing stores",9.6270689293945108
"1996-11-01","Women's clothing stores",9.1862029888802323
"1996-12-01","Men's clothing stores",14.8753404567358056
"1996-12-01","Women's clothing stores",12.9789645159005595
"1997-01-01","Men's clothing stores",6.9222365676829874
"1997-01-01","Women's clothing stores",6.1066781683559773
"1997-02-01","Men's clothing stores",6.2866223060879928
"1997-02-01","Women's clothing stores",6.5164258500467256
"1997-03-01","Men's clothing stores",7.4088787367166551
"1997-03-01","Women's clothing stores",8.4573359212134282
"1997-04-01","Men's clothing stores",7.1109345515940014
"1997-04-01","Women's clothing stores",8.0044569046078643
"1997-05-01","Men's clothing stores",8.0345615254742278
"1997-05-01","Women's clothing stores",8.7305010423405938
"1997-06-01","Men's clothing stores",7.8756579600754792
"1997-06-01","Women's clothing stores",7.9038171231399612
"1997-07-01","Men's clothing stores",7.3194954811798590
"1997-07-01","Women's clothing stores",7.5587664438214363
"1997-08-01","Men's clothing stores",8.4020260204588340
"1997-08-01","Women's clothing stores",8.3890446409316368
"1997-09-01","Men's clothing stores",7.5578508292779819
"1997-09-01","Women's clothing stores",8.1410394651714471
"1997-10-01","Men's clothing stores",8.6403813685569570
"1997-10-01","Women's clothing stores",8.4753073107612681
"1997-11-01","Men's clothing stores",9.8023636905353064
"1997-11-01","Women's clothing stores",8.9353748831859679
"1997-12-01","Men's clothing stores",14.6389909623597179
"1997-12-01","Women's clothing stores",12.7812522464236935
"1998-01-01","Men's clothing stores",7.0223617104746960
"1998-01-01","Women's clothing stores",6.0779330792037272
"1998-02-01","Men's clothing stores",6.3162024323264025
"1998-02-01","Women's clothing stores",6.2367640830156713
"1998-03-01","Men's clothing stores",7.2087092977638290
"1998-03-01","Women's clothing stores",7.7438938302978964
"1998-04-01","Men's clothing stores",8.2777559827383288
"1998-04-01","Women's clothing stores",8.8486517012565297
"1998-05-01","Men's clothing stores",8.1992938407218517
"1998-05-01","Women's clothing stores",8.8662995905689680
"1998-06-01","Men's clothing stores",8.0129462534327187
"1998-06-01","Women's clothing stores",7.9556685020471552
"1998-07-01","Men's clothing stores",7.4244801883091408
"1998-07-01","Women's clothing stores",7.8427220104475505
"1998-08-01","Men's clothing stores",8.2777559827383288
"1998-08-01","Women's clothing stores",8.2133276860087534
"1998-09-01","Men's clothing stores",7.3950568850529619
"1998-09-01","Women's clothing stores",7.9203727234222787
"1998-10-01","Men's clothing stores",8.4837191055315810
"1998-10-01","Women's clothing stores",8.5486375829450798
"1998-11-01","Men's clothing stores",9.3664182032169478
"1998-11-01","Women's clothing stores",8.9333615699562332
"1998-12-01","Men's clothing stores",14.0153001176932130
"1998-12-01","Women's clothing stores",12.8123676408301567
"1999-01-01","Men's clothing stores",7.0756180821350988
"1999-01-01","Women's clothing stores",5.9054451927307185
"1999-02-01","Men's clothing stores",6.3101272369918279
"1999-02-01","Women's clothing stores",6.3724660733019730
"1999-03-01","Men's clothing stores",7.3238853832626461
"1999-03-01","Women's clothing stores",8.4842126637111239
"1999-04-01","Men's clothing stores",8.3997103548153512
"1999-04-01","Women's clothing stores",8.8530914751768249
"1999-05-01","Men's clothing stores",8.3066101168925209
"1999-05-01","Women's clothing stores",9.0933703340214559
"1999-06-01","Men's clothing stores",8.1824764663287473
"1999-06-01","Women's clothing stores",8.1390233172019358
"1999-07-01","Men's clothing stores",7.4790524464673632
"1999-07-01","Women's clothing stores",7.7938339706927476
"1999-08-01","Men's clothing stores",8.1617875245681183
"1999-08-01","Women's clothing stores",8.1457917357609395
"1999-09-01","Men's clothing stores",7.3859522085445329
"1999-09-01","Women's clothing stores",7.9630444346678399
"1999-10-01","Men's clothing stores",8.2962656460122065
"1999-10-01","Women's clothing stores",8.2574706419845003
"1999-11-01","Men's clothing stores",9.2686459087617668
"1999-11-01","Women's clothing stores",8.6771125926427290
"1999-12-01","Men's clothing stores",13.8098686252198200
"1999-12-01","Women's clothing stores",12.3151375681072117
"2000-01-01","Men's clothing stores",6.6792889449879036
"2000-01-01","Women's clothing stores",5.3486819092441250
"2000-02-01","Men's clothing stores",6.4268433785631640
"2000-02-01","Women's clothing stores",6.3312875632015773
"2000-03-01","Men's clothing stores",7.4366256442621226
"2000-03-01","Women's clothing stores",8.4904760390498299
"2000-04-01","Men's clothing stores",7.9835910381823919
"2000-04-01","Women's clothing stores",8.6049543676662321
"2000-05-01","Men's clothing stores",8.0992952561270643
"2000-05-01","Women's clothing stores",8.9356695392247273
"2000-06-01","Men's clothing stores",7.8889239507731145
"2000-06-01","Women's clothing stores",8.1534009603459789
"2000-07-01","Men's clothing stores",7.5628484274744925
"2000-07-01","Women's clothing stores",7.5746494101186123
"2000-08-01","Men's clothing stores",8.2991479962133165
"2000-08-01","Women's clothing stores",8.3950774318694947
"2000-09-01","Men's clothing stores",7.8994425160408120
"2000-09-01","Women's clothing stores",8.4523165961776958
"2000-10-01","Men's clothing stores",8.2781108656779215
"2000-10-01","Women's clothing stores",8.4205170604509174
"2000-11-01","Men's clothing stores",9.4351530451246450
"2000-11-01","Women's clothing stores",8.9770089356695392
"2000-12-01","Men's clothing stores",14.0107289365730514
"2000-12-01","Women's clothing stores",12.3159601869812701
"2001-01-01","Men's clothing stores",7.1884057971014493
"2001-01-01","Women's clothing stores",6.1870091883127206
"2001-02-01","Men's clothing stores",6.8173913043478261
"2001-02-01","Women's clothing stores",6.8483133564365879
"2001-03-01","Men's clothing stores",7.8956521739130435
"2001-03-01","Women's clothing stores",8.4920357358598544
"2001-04-01","Men's clothing stores",7.8260869565217391
"2001-04-01","Women's clothing stores",8.9053508409372715
"2001-05-01","Men's clothing stores",8.2318840579710145
"2001-05-01","Women's clothing stores",8.7336661049820367
"2001-06-01","Men's clothing stores",8.1391304347826087
"2001-06-01","Women's clothing stores",7.9706228340698820
"2001-07-01","Men's clothing stores",7.2579710144927536
"2001-07-01","Women's clothing stores",7.3474708294916224
"2001-08-01","Men's clothing stores",8.6144927536231884
"2001-08-01","Women's clothing stores",8.4602422662385146
"2001-09-01","Men's clothing stores",7.0724637681159420
"2001-09-01","Women's clothing stores",7.6113566273487426
"2001-10-01","Men's clothing stores",8.1623188405797101
"2001-10-01","Women's clothing stores",8.3139923059803516
"2001-11-01","Men's clothing stores",9.1942028985507246
"2001-11-01","Women's clothing stores",8.8576606365052618
"2001-12-01","Men's clothing stores",13.6000000000000000
"2001-12-01","Women's clothing stores",12.2722792738371538
"2002-01-01","Men's clothing stores",6.6568047337278107
"2002-01-01","Women's clothing stores",6.3592139793893618
"2002-02-01","Men's clothing stores",6.5828402366863905
"2002-02-01","Women's clothing stores",6.9096844396082699
"2002-03-01","Men's clothing stores",8.0991124260355030
"2002-03-01","Women's clothing stores",8.8939384241182871
"2002-04-01","Men's clothing stores",7.7909270216962525
"2002-04-01","Women's clothing stores",8.5770978685271715
"2002-05-01","Men's clothing stores",8.1977317554240631
"2002-05-01","Women's clothing stores",8.8171285924598349
"2002-06-01","Men's clothing stores",8.0128205128205128
"2002-06-01","Women's clothing stores",7.9306151187351981
"2002-07-01","Men's clothing stores",7.2978303747534517
"2002-07-01","Women's clothing stores",7.2329258145042565
"2002-08-01","Men's clothing stores",8.5675542406311637
"2002-08-01","Women's clothing stores",8.1226396978813288
"2002-09-01","Men's clothing stores",7.4457593688362919
"2002-09-01","Women's clothing stores",7.5945721052294694
"2002-10-01","Men's clothing stores",8.2470414201183432
"2002-10-01","Women's clothing stores",8.1002368303142802
"2002-11-01","Men's clothing stores",9.3811637080867850
"2002-11-01","Women's clothing stores",8.7691224476733022
"2002-12-01","Men's clothing stores",13.7204142011834320
"2002-12-01","Women's clothing stores",12.6928246815592396
"2003-01-01","Men's clothing stores",6.5341253485270942
"2003-01-01","Women's clothing stores",6.3104560110548135
"2003-02-01","Men's clothing stores",6.0370954055036974
"2003-02-01","Women's clothing stores",6.4210041455550438
"2003-03-01","Men's clothing stores",7.2857316038307674
"2003-03-01","Women's clothing stores",8.0423767848917550
"2003-04-01","Men's clothing stores",7.6494120499454479
"2003-04-01","Women's clothing stores",8.3648088438507600
"2003-05-01","Men's clothing stores",8.2313007637289368
"2003-05-01","Women's clothing stores",8.6381083985874405
"2003-06-01","Men's clothing stores",7.9646017699115044
"2003-06-01","Women's clothing stores",7.7875019192384462
"2003-07-01","Men's clothing stores",7.2978542853679234
"2003-07-01","Women's clothing stores",7.5234147090434516
"2003-08-01","Men's clothing stores",8.9829070190326100
"2003-08-01","Women's clothing stores",7.9748195915860587
"2003-09-01","Men's clothing stores",7.5766759607225118
"2003-09-01","Women's clothing stores",8.0669430370029172
"2003-10-01","Men's clothing stores",8.5343678021578373
"2003-10-01","Women's clothing stores",8.5766927683095348
"2003-11-01","Men's clothing stores",9.4678142805188508
"2003-11-01","Women's clothing stores",9.0618762475049900
"2003-12-01","Men's clothing stores",14.4381137107528185
"2003-12-01","Women's clothing stores",13.2319975433747889
"2004-01-01","Men's clothing stores",6.7009105766985758
"2004-01-01","Women's clothing stores",6.4856668764662127
"2004-02-01","Men's clothing stores",6.5257996731263133
"2004-02-01","Women's clothing stores",6.8718887680952108
"2004-03-01","Men's clothing stores",7.4363763717020780
"2004-03-01","Women's clothing stores",8.3395319562854037
"2004-04-01","Men's clothing stores",7.8683166005136587
"2004-04-01","Women's clothing stores",8.6485094695886022
"2004-05-01","Men's clothing stores",7.8799906607518095
"2004-05-01","Women's clothing stores",8.5970132173714024
"2004-06-01","Men's clothing stores",7.6698575764650946
"2004-06-01","Women's clothing stores",7.9447273559535389
"2004-07-01","Men's clothing stores",7.4597244921783796
"2004-07-01","Women's clothing stores",7.4240430279796304
"2004-08-01","Men's clothing stores",8.4053233714685968
"2004-08-01","Women's clothing stores",7.5642272701264519
"2004-09-01","Men's clothing stores",7.4013541909876255
"2004-09-01","Women's clothing stores",7.9361446472506723
"2004-10-01","Men's clothing stores",8.4870417931356526
"2004-10-01","Women's clothing stores",8.5540996738570693
"2004-11-01","Men's clothing stores",9.4443147326640205
"2004-11-01","Women's clothing stores",8.8401899639526234
"2004-12-01","Men's clothing stores",14.7209899603081952
"2004-12-01","Women's clothing stores",12.7939577730731819
"2005-01-01","Men's clothing stores",6.5812063637404143
"2005-01-01","Women's clothing stores",6.3061362103843560
"2005-02-01","Men's clothing stores",6.5926519400251803
"2005-02-01","Women's clothing stores",6.6163182737693864
"2005-03-01","Men's clothing stores",8.0004578230513906
"2005-03-01","Women's clothing stores",8.3749157113958193
"2005-04-01","Men's clothing stores",7.6914272633627103
"2005-04-01","Women's clothing stores",8.5691166554281861
"2005-05-01","Men's clothing stores",7.9890122467666247
"2005-05-01","Women's clothing stores",8.5340525960890088
"2005-06-01","Men's clothing stores",8.2293693487467094
"2005-06-01","Women's clothing stores",8.2130815913688469
"2005-07-01","Men's clothing stores",7.3938422799587959
"2005-07-01","Women's clothing stores",7.3931220498988537
"2005-08-01","Men's clothing stores",8.4697264507267941
"2005-08-01","Women's clothing stores",7.7437626432906271
"2005-09-01","Men's clothing stores",7.2564953645416047
"2005-09-01","Women's clothing stores",7.9919082939986514
"2005-10-01","Men's clothing stores",8.2064781961771775
"2005-10-01","Women's clothing stores",8.4153742414025624
"2005-11-01","Men's clothing stores",9.2594712143756438
"2005-11-01","Women's clothing stores",9.0141604855023601
"2005-12-01","Men's clothing stores",14.3298615085269543
"2005-12-01","Women's clothing stores",12.8280512474713419
"2006-01-01","Men's clothing stores",6.4450474898236092
"2006-01-01","Women's clothing stores",6.4881857301141488
"2006-02-01","Men's clothing stores",6.2980551786521936
"2006-02-01","Women's clothing stores",6.4881857301141488
"2006-03-01","Men's clothing stores",7.4626865671641791
"2006-03-01","Women's clothing stores",8.2300497307325620
"2006-04-01","Men's clothing stores",7.8358208955223881
"2006-04-01","Women's clothing stores",8.7067432811976603
"2006-05-01","Men's clothing stores",7.8358208955223881
"2006-05-01","Women's clothing stores",8.6062511273158288
"2006-06-01","Men's clothing stores",7.9601990049751244
